Date,Category,Internal SKU,City,State,Region,Units,GMV,Platform,,date_range,source_city_name,brand_name,top_slug,mid_slug,leaf_slug,source_sku_id,sku_description,sku_weight,total_quantity,total_mrp,total_sales
31/10/2025,Tea Bag,Chaayos Detox Kahwa Tea Bag,Hyderabad,Telangana,South,15,3135,Big Basket,,20251001 - 20251031,Hyderabad,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348271,Chaayos detox-kahwa-herbal-green-tea 25 pcs,25 pcs,15,3135,2656.55
31/10/2025,Premix,Chaayos Masala Tea Premix Pack of 15,Bangalore,Karnataka,South,14,5250,Big Basket,,20251001 - 20251031,Bangalore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194790,Chaayos instant-desi-masala-chai-tea 210 g  (Pack of 15),210 g,14,5250,2506
31/10/2025,Ice Tea,Chaayos Peach Iced Tea Premix,Mumbai,Maharashtra,West,27,3213,Big Basket,,20251001 - 20251031,Mumbai,Chaayos,beverages,energy-soft-drinks,icetea-non-aerated-drink,40348264,Chaayos instant-peach-iced-tea-premix 220 g  (22 g x 10),220 g,27,3213,2643.26
31/10/2025,Tea Bag,Chaayos Masala Tea Bag,Visakhapatnam,Andhra Pradesh,South,3,557,Big Basket,,20251001 - 20251031,Visakhapatnam,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194562,Chaayos instant-desi-masala-chai-tea 25 pcs,25 pcs,3,557,447
31/10/2025,Chai Patti,Chaayos Masala Tea 250g,Hyderabad,Telangana,South,21,6909,Big Basket,,20251001 - 20251031,Hyderabad,Chaayos,beverages,tea,leaf-dust-tea,40348267,Chaayos desi-masala-chai-tea 250 g,250 g,21,6909,6018.75
31/10/2025,Chai Patti,Chaayos Masala Tea 250g,Pune,Maharashtra,West,1,190,Big Basket,,20251001 - 20251031,Pune,Chaayos,beverages,tea,leaf-dust-tea,40348267,Chaayos desi-masala-chai-tea 250 g,250 g,1,190,190
31/10/2025,Chai Patti,Chaayos Adrak Elaichi 100g,Coimbatore,Tamil Nadu,South,1,199,Big Basket,,20251001 - 20251031,Coimbatore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194559,Chaayos tea-blendchai-adrak-elaichi-premium-flavoured 100 g,100 g,1,199,129
31/10/2025,Premix,Chaayos Masala Tea Premix Pack of 15,Visakhapatnam,Andhra Pradesh,South,1,375,Big Basket,,20251001 - 20251031,Visakhapatnam,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194790,Chaayos instant-desi-masala-chai-tea 210 g  (Pack of 15),210 g,1,375,179
31/10/2025,Discontinue,Discontinue,Bangalore,Karnataka,South,1,1599,Big Basket,,20251001 - 20251031,Bangalore,Chaayos,snacks-branded-foods,chocolates-candies,gift-boxes,40357176,Chaayos green-festival-gift-box-set-with-tea-snacks 1 pc,1 pc,1,1599,1499
31/10/2025,Premix,Chaayos Combo Premix Pack of 12,Bangalore,Karnataka,South,35,5915,Big Basket,,20251001 - 20251031,Bangalore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348269,Chaayos instant-chai-tea-premix-combo 168 g  (14 g x 12),168 g,35,5915,5194.37
31/10/2025,Chai Patti,Chaayos Masala Tea 100g,Bangalore,Karnataka,South,55,10945,Big Basket,,20251001 - 20251031,Bangalore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194561,Chaayos chai-masala-spice-blend 100 g,100 g,55,10945,7807.4
