Date,Category,Internal SKU,City,State,Region,Units,GMV,Platform,,BrandName_gsheet,order_date_time,city,product_id,analytic_business_unit,analytic_super_category,analytic_vertical,brand_csv,units,mrp
02/10/2025,Premix,Chaayos Masala Tea Premix Pack of 15,Patna,Bihar,East,1,189,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Patna,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,1,189
02/10/2025,Chai Patti,Chaayos Adrak Elaichi 100g,Pune,Maharashtra,West,1,139,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Pune,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,1,139
02/10/2025,Ice Tea,Chaayos Lemon Iced Tea Premix,Mumbai,Maharashtra,West,1,199,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Mumbai,TEAHAYP6HSFNH6FZ,BGM,FoodAndNutrition,Tea,Chaayos,1,199
02/10/2025,Chai Patti,Chaayos Masala Tea 100g,Kolkata,West Bengal,East,1,139,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Kolkata,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,1,139
02/10/2025,Discontinue,Discontinue,Pune,Maharashtra,West,1,349,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Pune,TEAH35UPN3ZB4CPY,BGM,FoodAndNutrition,Tea,Chaayos,1,349
02/10/2025,Ice Tea,Chaayos Peach Iced Tea Premix,Mumbai,Maharashtra,West,2,238,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Mumbai,TEAHAYP6R3YEVR5Q,BGM,FoodAndNutrition,Tea,Chaayos,2,238
02/10/2025,Ice Tea,Chaayos Lemon Iced Tea Premix,Kolkata,West Bengal,East,1,119,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Kolkata,TEAHAYP6HSFNH6FZ,BGM,FoodAndNutrition,Tea,Chaayos,1,119
02/10/2025,Ice Tea,Chaayos Lemon Iced Tea Premix,Delhi,Delhi,Delhi NCR,2,318,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Delhi,TEAHAYP6HSFNH6FZ,BGM,FoodAndNutrition,Tea,Chaayos,2,318
02/10/2025,Chai Patti,Chaayos Adrak Elaichi 100g,Kolkata,West Bengal,East,1,139,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Kolkata,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,1,139
02/10/2025,Ice Tea,Chaayos Peach Iced Tea Premix,Kolkata,West Bengal,East,2,238,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Kolkata,TEAHAYP6R3YEVR5Q,BGM,FoodAndNutrition,Tea,Chaayos,2,238
02/10/2025,Premix,Chaayos Masala Tea Premix Pack of 15,Bangalore,Karnataka,South,1,189,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Bangalore,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,1,189
02/10/2025,Premix,Chaayos Masala Tea Premix Pack of 15,Delhi,Delhi,Delhi NCR,7,1323,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Delhi,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,7,1323
02/10/2025,Chai Patti,Chaayos Masala Tea 100g,Pune,Maharashtra,West,4,556,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Pune,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,4,556
02/10/2025,Discontinue,Discontinue,Bangalore,Karnataka,South,2,698,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Bangalore,TEAH35UPN3ZB4CPY,BGM,FoodAndNutrition,Tea,Chaayos,2,698
02/10/2025,Chai Patti,Chaayos Adrak Elaichi 100g,Delhi,Delhi,Delhi NCR,13,1807,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Delhi,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,13,1807
02/10/2025,Chai Patti,Chaayos Adrak Elaichi 100g,Patna,Bihar,East,2,278,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Patna,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,2,278
02/10/2025,Ice Tea,Chaayos Peach Iced Tea Premix,Bangalore,Karnataka,South,1,119,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Bangalore,TEAHAYP6R3YEVR5Q,BGM,FoodAndNutrition,Tea,Chaayos,1,119
02/10/2025,Premix,Chaayos Masala Tea Premix Pack of 15,Mumbai,Maharashtra,West,1,189,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Mumbai,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,1,189
02/10/2025,Discontinue,Discontinue,Kolkata,West Bengal,East,1,349,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Kolkata,TEAH35UPN3ZB4CPY,BGM,FoodAndNutrition,Tea,Chaayos,1,349
02/10/2025,Chai Patti,Chaayos Masala Tea 100g,Bangalore,Karnataka,South,4,556,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Bangalore,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,4,556
02/10/2025,Premix,Chaayos Masala Tea Premix Pack of 15,Kolkata,West Bengal,East,1,189,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Kolkata,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,1,189
02/10/2025,Premix,Chaayos Cardamom Tea Premix Pack of 15,Delhi,Delhi,Delhi NCR,2,378,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Delhi,TEAH35UP6Y82FRVY,BGM,FoodAndNutrition,Tea,Chaayos,2,378
02/10/2025,Premix,Chaayos Cardamom Tea Premix Pack of 15,Pune,Maharashtra,West,1,189,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Pune,TEAH35UP6Y82FRVY,BGM,FoodAndNutrition,Tea,Chaayos,1,189
02/10/2025,Premix,Chaayos Cardamom Tea Premix Pack of 15,Kolkata,West Bengal,East,1,189,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Kolkata,TEAH35UP6Y82FRVY,BGM,FoodAndNutrition,Tea,Chaayos,1,189
02/10/2025,Chai Patti,Chaayos Adrak Elaichi 100g,Mumbai,Maharashtra,West,3,417,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Mumbai,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,3,417
02/10/2025,Chai Patti,Chaayos Adrak Elaichi 100g,Guwahati,Assam,East,1,139,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Guwahati,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,1,139
03/10/2025,Discontinue,Discontinue,Delhi,Delhi,Delhi NCR,3,1047,Flipkart Minutes,,Chaayos,03/10/2025 00:00:00,Delhi,TEAH35UPN3ZB4CPY,BGM,FoodAndNutrition,Tea,Chaayos,3,1047
03/10/2025,Ice Tea,Chaayos Peach Iced Tea Premix,Bangalore,Karnataka,South,1,119,Flipkart Minutes,,Chaayos,03/10/2025 00:00:00,Bangalore,TEAHAYP6R3YEVR5Q,BGM,FoodAndNutrition,Tea,Chaayos,1,119
03/10/2025,Premix,Chaayos Masala Tea Premix Pack of 15,Delhi,Delhi,Delhi NCR,5,945,Flipkart Minutes,,Chaayos,03/10/2025 00:00:00,Delhi,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,5,945
03/10/2025,Chai Patti,Chaayos Masala Tea 100g,Mumbai,Maharashtra,West,5,695,Flipkart Minutes,,Chaayos,03/10/2025 00:00:00,Mumbai,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,5,695
03/10/2025,Chai Patti,Chaayos Masala Tea 100g,Jaipur,Rajasthan,West,3,417,Flipkart Minutes,,Chaayos,03/10/2025 00:00:00,Jaipur,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,3,417
03/10/2025,Premix,Chaayos Masala Tea Premix Pack of 15,Kolkata,West Bengal,East,2,378,Flipkart Minutes,,Chaayos,03/10/2025 00:00:00,Kolkata,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,2,378
03/10/2025,Premix,Chaayos Masala Tea Premix Pack of 15,Bangalore,Karnataka,South,2,378,Flipkart Minutes,,Chaayos,03/10/2025 00:00:00,Bangalore,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,2,378
03/10/2025,Chai Patti,Chaayos Adrak Elaichi 100g,Mumbai,Maharashtra,West,1,139,Flipkart Minutes,,Chaayos,03/10/2025 00:00:00,Mumbai,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,1,139
03/10/2025,Chai Patti,Chaayos Adrak Elaichi 100g,Patna,Bihar,East,1,139,Flipkart Minutes,,Chaayos,03/10/2025 00:00:00,Patna,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,1,139
03/10/2025,Premix,Chaayos Masala Tea Premix Pack of 15,Mumbai,Maharashtra,West,3,567,Flipkart Minutes,,Chaayos,03/10/2025 00:00:00,Mumbai,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,3,567
03/10/2025,Ice Tea,Chaayos Lemon Iced Tea Premix,Kolkata,West Bengal,East,1,119,Flipkart Minutes,,Chaayos,03/10/2025 00:00:00,Kolkata,TEAHAYP6HSFNH6FZ,BGM,FoodAndNutrition,Tea,Chaayos,1,119
03/10/2025,Discontinue,Discontinue,Mumbai,Maharashtra,West,1,349,Flipkart Minutes,,Chaayos,03/10/2025 00:00:00,Mumbai,TEAH35UPN3ZB4CPY,BGM,FoodAndNutrition,Tea,Chaayos,1,349
03/10/2025,Chai Patti,Chaayos Masala Tea 100g,Delhi,Delhi,Delhi NCR,1,139,Flipkart Minutes,,Chaayos,03/10/2025 00:00:00,Delhi,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,1,139
03/10/2025,Ice Tea,Chaayos Peach Iced Tea Premix,Mumbai,Maharashtra,West,2,238,Flipkart Minutes,,Chaayos,03/10/2025 00:00:00,Mumbai,TEAHAYP6R3YEVR5Q,BGM,FoodAndNutrition,Tea,Chaayos,2,238
03/10/2025,Chai Patti,Chaayos Adrak Elaichi 100g,Bangalore,Karnataka,South,2,278,Flipkart Minutes,,Chaayos,03/10/2025 00:00:00,Bangalore,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,2,278
03/10/2025,Ice Tea,Chaayos Lemon Iced Tea Premix,Chennai,Tamil Nadu,South,1,119,Flipkart Minutes,,Chaayos,03/10/2025 00:00:00,Chennai,TEAHAYP6HSFNH6FZ,BGM,FoodAndNutrition,Tea,Chaayos,1,119
03/10/2025,Chai Patti,Chaayos Adrak Elaichi 100g,Delhi,Delhi,Delhi NCR,4,556,Flipkart Minutes,,Chaayos,03/10/2025 00:00:00,Delhi,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,4,556
03/10/2025,Premix,Chaayos Cardamom Tea Premix Pack of 15,Delhi,Delhi,Delhi NCR,1,189,Flipkart Minutes,,Chaayos,03/10/2025 00:00:00,Delhi,TEAH35UP6Y82FRVY,BGM,FoodAndNutrition,Tea,Chaayos,1,189
