order_date_time,city,FKM_identifier,analytic_business_unit,analytic_super_category,analytic_vertical,brand_csv,units,mrp,internal_id,internal_name,Category
2025-10-04,Delhi,TEAH35UP6Y82FRVY,BGM,FoodAndNutrition,Tea,Chaayos,1,189,4973.0,Chaayos Cardamom Tea Premix Pack of 15,Premix
2025-10-04,Bangalore,TEAHAYP6R3YEVR5Q,BGM,FoodAndNutrition,Tea,Chaayos,2,238,5915.0,Chaayos Peach Iced Tea Premix,Ice Tea
2025-10-04,Mumbai,TEAHAYP6R3YEVR5Q,BGM,FoodAndNutrition,Tea,Chaayos,1,119,5915.0,Chaayos Peach Iced Tea Premix,Ice Tea
2025-10-04,Mumbai,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,2,378,4972.0,Chaayos Masala Tea Premix Pack of 15,Premix
2025-10-04,Mumbai,TEAH35UP6Y82FRVY,BGM,FoodAndNutrition,Tea,Chaayos,4,756,4973.0,Chaayos Cardamom Tea Premix Pack of 15,Premix
2025-10-04,Mumbai,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,2,278,1505.0,Chaayos Adrak Elaichi 100g,Chai Patti
2025-10-04,Delhi,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,3,567,4972.0,Chaayos Masala Tea Premix Pack of 15,Premix
2025-10-04,Pune,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,1,189,4972.0,Chaayos Masala Tea Premix Pack of 15,Premix
2025-10-04,Chennai,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,1,139,1505.0,Chaayos Adrak Elaichi 100g,Chai Patti
2025-10-04,Delhi,TEAHAYP6HSFNH6FZ,BGM,FoodAndNutrition,Tea,Chaayos,4,556,5916.0,Chaayos Lemon Iced Tea Premix,Ice Tea
2025-10-04,Jaipur,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,1,139,1505.0,Chaayos Adrak Elaichi 100g,Chai Patti
2025-10-04,Delhi,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,7,973,1505.0,Chaayos Adrak Elaichi 100g,Chai Patti
2025-10-04,Bangalore,TEAHAYP6HSFNH6FZ,BGM,FoodAndNutrition,Tea,Chaayos,1,119,5916.0,Chaayos Lemon Iced Tea Premix,Ice Tea
2025-10-04,Mumbai,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,4,556,1504.0,Chaayos Masala Tea 100g,Chai Patti
2025-10-04,Lucknow,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,1,139,1505.0,Chaayos Adrak Elaichi 100g,Chai Patti
2025-10-04,Bangalore,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,2,278,1505.0,Chaayos Adrak Elaichi 100g,Chai Patti
2025-10-04,Kolkata,TEAHAYP6R3YEVR5Q,BGM,FoodAndNutrition,Tea,Chaayos,1,119,5915.0,Chaayos Peach Iced Tea Premix,Ice Tea
2025-10-04,Jaipur,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,1,139,1504.0,Chaayos Masala Tea 100g,Chai Patti
2025-10-04,Delhi,TEAHAYP6R3YEVR5Q,BGM,FoodAndNutrition,Tea,Chaayos,3,357,5915.0,Chaayos Peach Iced Tea Premix,Ice Tea
2025-10-05,Pune,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,2,338,1505.0,Chaayos Adrak Elaichi 100g,Chai Patti
2025-10-05,Bangalore,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,1,189,4972.0,Chaayos Masala Tea Premix Pack of 15,Premix
2025-10-05,Delhi,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,1,189,4972.0,Chaayos Masala Tea Premix Pack of 15,Premix
2025-10-05,Bangalore,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,3,417,1505.0,Chaayos Adrak Elaichi 100g,Chai Patti
2025-10-05,Mumbai,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,3,417,1505.0,Chaayos Adrak Elaichi 100g,Chai Patti
2025-10-05,Ahmedabad,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,2,338,1505.0,Chaayos Adrak Elaichi 100g,Chai Patti
2025-10-05,Kolkata,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,1,189,4972.0,Chaayos Masala Tea Premix Pack of 15,Premix
2025-10-05,Mumbai,TEAH35UP6Y82FRVY,BGM,FoodAndNutrition,Tea,Chaayos,2,378,4973.0,Chaayos Cardamom Tea Premix Pack of 15,Premix
2025-10-05,Pune,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,1,189,4972.0,Chaayos Masala Tea Premix Pack of 15,Premix
2025-10-05,Chennai,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,1,189,4972.0,Chaayos Masala Tea Premix Pack of 15,Premix
2025-10-05,Jaipur,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,1,189,4972.0,Chaayos Masala Tea Premix Pack of 15,Premix
2025-10-05,Kolkata,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,2,278,1505.0,Chaayos Adrak Elaichi 100g,Chai Patti
2025-10-05,Delhi,TEAH35UPN3ZB4CPY,BGM,FoodAndNutrition,Tea,Chaayos,2,698,,Discontinue,Discontinue
2025-10-05,Delhi,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,5,695,1504.0,Chaayos Masala Tea 100g,Chai Patti
2025-10-05,Bangalore,TEAHAYP6HSFNH6FZ,BGM,FoodAndNutrition,Tea,Chaayos,2,238,5916.0,Chaayos Lemon Iced Tea Premix,Ice Tea
2025-10-05,Mumbai,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,4,556,1504.0,Chaayos Masala Tea 100g,Chai Patti
2025-10-05,Delhi,TEAHAYP6HSFNH6FZ,BGM,FoodAndNutrition,Tea,Chaayos,3,517,5916.0,Chaayos Lemon Iced Tea Premix,Ice Tea
2025-10-05,Kolkata,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,1,139,1504.0,Chaayos Masala Tea 100g,Chai Patti
2025-10-05,Bangalore,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,1,139,1504.0,Chaayos Masala Tea 100g,Chai Patti
2025-10-05,Mumbai,TEAHAYP6R3YEVR5Q,BGM,FoodAndNutrition,Tea,Chaayos,1,119,5915.0,Chaayos Peach Iced Tea Premix,Ice Tea
2025-10-05,Mumbai,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,2,378,4972.0,Chaayos Masala Tea Premix Pack of 15,Premix
2025-10-05,Delhi,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,9,1251,1505.0,Chaayos Adrak Elaichi 100g,Chai Patti
2025-10-05,Guwahati,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,3,417,1504.0,Chaayos Masala Tea 100g,Chai Patti
2025-10-05,Patna,TEAH35UP6Y82FRVY,BGM,FoodAndNutrition,Tea,Chaayos,1,189,4973.0,Chaayos Cardamom Tea Premix Pack of 15,Premix
2025-10-06,Ahmedabad,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,1,189,4972.0,Chaayos Masala Tea Premix Pack of 15,Premix
2025-10-06,Kanpur,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,1,139,1505.0,Chaayos Adrak Elaichi 100g,Chai Patti
2025-10-06,Bangalore,TEAHAYP6HSFNH6FZ,BGM,FoodAndNutrition,Tea,Chaayos,1,119,5916.0,Chaayos Lemon Iced Tea Premix,Ice Tea
2025-10-06,Kolkata,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,1,139,1505.0,Chaayos Adrak Elaichi 100g,Chai Patti
2025-10-06,Delhi,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,2,378,4972.0,Chaayos Masala Tea Premix Pack of 15,Premix
2025-10-06,Patna,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,1,139,1505.0,Chaayos Adrak Elaichi 100g,Chai Patti
2025-10-06,Bangalore,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,2,278,1505.0,Chaayos Adrak Elaichi 100g,Chai Patti
2025-10-06,Pune,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,1,139,1504.0,Chaayos Masala Tea 100g,Chai Patti
2025-10-06,Bangalore,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,1,139,1504.0,Chaayos Masala Tea 100g,Chai Patti
2025-10-06,Delhi,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,3,417,1504.0,Chaayos Masala Tea 100g,Chai Patti
2025-10-06,Chennai,TEAH35UP6Y82FRVY,BGM,FoodAndNutrition,Tea,Chaayos,1,189,4973.0,Chaayos Cardamom Tea Premix Pack of 15,Premix
2025-10-06,Delhi,TEAH35UPN3ZB4CPY,BGM,FoodAndNutrition,Tea,Chaayos,2,698,,Discontinue,Discontinue
2025-10-06,Mumbai,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,1,139,1504.0,Chaayos Masala Tea 100g,Chai Patti
2025-10-06,Pune,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,2,278,1505.0,Chaayos Adrak Elaichi 100g,Chai Patti
2025-10-06,Delhi,TEAH35UP6Y82FRVY,BGM,FoodAndNutrition,Tea,Chaayos,1,189,4973.0,Chaayos Cardamom Tea Premix Pack of 15,Premix
2025-10-06,Bangalore,TEAH35UPN3ZB4CPY,BGM,FoodAndNutrition,Tea,Chaayos,1,349,,Discontinue,Discontinue
2025-10-06,Bangalore,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,1,189,4972.0,Chaayos Masala Tea Premix Pack of 15,Premix
2025-10-06,Mumbai,TEAH35UP6Y82FRVY,BGM,FoodAndNutrition,Tea,Chaayos,2,378,4973.0,Chaayos Cardamom Tea Premix Pack of 15,Premix
2025-10-06,Bangalore,TEAHAYP6R3YEVR5Q,BGM,FoodAndNutrition,Tea,Chaayos,3,357,5915.0,Chaayos Peach Iced Tea Premix,Ice Tea
2025-10-06,Bangalore,TEAH35UP6Y82FRVY,BGM,FoodAndNutrition,Tea,Chaayos,1,189,4973.0,Chaayos Cardamom Tea Premix Pack of 15,Premix
2025-10-06,Chennai,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,1,189,4972.0,Chaayos Masala Tea Premix Pack of 15,Premix
2025-10-06,Mumbai,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,3,567,4972.0,Chaayos Masala Tea Premix Pack of 15,Premix
2025-10-06,Chennai,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,1,139,1505.0,Chaayos Adrak Elaichi 100g,Chai Patti
2025-10-06,Delhi,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,6,834,1505.0,Chaayos Adrak Elaichi 100g,Chai Patti
2025-10-06,Delhi,TEAHAYP6R3YEVR5Q,BGM,FoodAndNutrition,Tea,Chaayos,3,357,5915.0,Chaayos Peach Iced Tea Premix,Ice Tea
2025-10-06,Mumbai,TEAHAYP6R3YEVR5Q,BGM,FoodAndNutrition,Tea,Chaayos,1,119,5915.0,Chaayos Peach Iced Tea Premix,Ice Tea
2025-10-06,Ambala,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,1,139,1504.0,Chaayos Masala Tea 100g,Chai Patti
